======================================================================
KHOA 관측소 네트워크 (data.go.kr odcloud, 2026-07-15 조회)
======================================================================

[조위관측소 운영현황] 총 60개 (data.go.kr 15146602)
코드	명칭	영문명	유형	위도	경도
IE_0060	이어도	Ieodo	종합해양과학기지	32.12277778	125.1822222
IE_0062	옹진소청초	Socheongcho	종합해양과학기지	37.42305600	124.7380560
IE_0061	신안가거초	Gageocho	종합해양과학기지	33.94194400	124.5927780
DT_0002	평택	Pyeongtaek	조위관측소	36.96694400	126.8227780
DT_0003	영광	Yeonggwang	조위관측소	35.42611100	126.4205560
DT_0004	제주	Jeju	조위관측소	33.52750000	126.5430560
DT_0005	부산	Busan	조위관측소	35.09638900	129.0352780
DT_0006	묵호	Mukho	조위관측소	37.55027800	129.1163890
DT_0007	목포	Mokpo	조위관측소	34.77972200	126.3755560
DT_0008	안산	Ansan	조위관측소	37.19222200	126.6472220
DT_0010	서귀포	Seogwipo	조위관측소	33.24000000	126.5616670
DT_0011	후포	Hupo	조위관측소	36.67750000	129.4530560
DT_0012	속초	Sokcho	조위관측소	38.20722200	128.5941670
DT_0013	울릉도	Ulleungdo	조위관측소	37.49138900	130.9136110
DT_0016	여수	Yeosu	조위관측소	34.74722200	127.7655560
DT_0017	대산	Daesan	조위관측소	37.00750000	126.3527780
DT_0018	군산	Gunsan	조위관측소	35.97555600	126.5630560
DT_0021	추자도	Chujado	조위관측소	33.96194400	126.3002780
DT_0023	모슬포	Moseulpo	조위관측소	33.21444400	126.2511110
DT_0028	진도	Jindo	조위관측소	34.37777800	126.3086110
DT_0030	위도(구)	Wido	조위관측소	35.61805600	126.3016670
DT_0032	강화대교	Ganghwa(Bridge)	조위관측소	37.73194400	126.5222220
DT_0019	가덕도(구)	Gadeokdo	조위관측소	35.02416700	128.8108330
DT_0020	울산	Ulsan	조위관측소	35.50194400	129.3872220
DT_0022	성산포	Seongsanpo	조위관측소	33.47472200	126.9277780
DT_0024	장항	Janghang	조위관측소	36.00694400	126.6875000
DT_0026	고흥발포	Goheung(Balpo)	조위관측소	34.48111100	127.3427780
DT_0027	완도	Wando	조위관측소	34.31555600	126.7597220
DT_0029	거제도	Geojedo	조위관측소	34.80138900	128.6991670
DT_0031	거문도	Geomundo	조위관측소	34.02833300	127.3088890
DT_0035	흑산도	Heuksando	조위관측소	34.68416700	125.4355560
DT_0044	영종대교	Yeongjong(Bridge)	조위관측소	37.54555600	126.5844440
DT_0050	태안	Taean	조위관측소	36.91305556	126.2388889
DT_0051	서천마량	Seocheon(Maryang)	조위관측소	36.12888889	126.4952778
DT_0049	광양	Gwangyang	조위관측소	34.90367200	127.7548360
DT_0056	부산항신항	Busan(New Port)	조위관측소	35.07750000	128.7869440
DT_0057	동해항	Donghae(Port)	조위관측소	37.49472200	129.1438890
DT_0055	순천만	Sooncheon(Bay)	조위관측소	34.88411111	127.5125556
DT_0058	경인항	Gyeongin(Port)	조위관측소	37.56083300	126.6011110
DT_0038	굴업도	Gureopdo	조위관측소	37.19444400	125.9950000
DT_0025	보령	Boryeong	조위관측소	36.40638900	126.4861110
DT_0034	안흥(구)	Anheung	조위관측소	36.67361100	126.1322220
DT_0001	인천	Incheon	조위관측소	37.45194400	126.5922220
DT_0052	인천송도	Incheon Songdo	조위관측소	37.33805556	126.5861111
DT_0014	통영	Tongyeong	조위관측소	34.82777800	128.4347220
DT_0037	어청도	Eocheongdo	조위관측소	36.11722200	125.9847220
DT_0009	포항(과거)	Pohang	조위관측소	36.04722222	129.3838889
DT_0043	영흥도	Yeongheungdo	조위관측소	37.23861111	126.4286111
DT_0061	삼천포	Samcheonpo	조위관측소	34.92416700	128.0697220
DT_0901	포항_구	Pohang	조위관측소	36.05158100	129.3744990
DT_0068	위도	Wido	조위관측소	35.61808444	126.3018158
DT_0065	덕적도	Deokjeokdo	조위관측소	37.22633300	126.1565560
DT_0066	향화도	Hyanghwado	조위관측소	35.16766700	126.3595560
DT_0067	안흥	Anheung	조위관측소	36.67463889	126.1295556
DT_0091	포항	Pohang	조위관측소	36.04712800	129.3838060
DT_0063	가덕도	Gadeokdo	조위관측소	35.02417800	128.8109330
DT_0062	마산	Masan	조위관측소	35.19750000	128.5763890
DT_0092	여호항	Yeoho(Port)	조위관측소	34.66194400	127.4691670
DT_0094	서거차도	Seogeochado	조위관측소	34.25142222	125.9154500
DT_0093	소무의도	Somuuido	조위관측소	37.37306900	126.4400660

[해양관측부이 운영현황] 총 41개 (data.go.kr 15146611)
코드	명칭	영문명	유형	위도	경도
TW_0095	고래불해수욕장	Goraebul Beach	TW	36.58000000	129.4540830
TW_0089	경포대해수욕장	Gyeongpodae Beach	TW	37.80897200	128.9318890
HB_0007	한수원_온양	KHNP_Onyang	TW	37.01944400	129.4250000
HB_0008	한수원_덕천	KHNP_Deokcheon	TW	37.10000000	129.4041670
HB_0009	한수원_나곡	KHNP_Nagog	TW	37.11916700	129.3958330
TW_0079	상왕등도	SangWang	TW	35.65247200	126.1942500
TW_0080	우이도	Uido	TW	34.54305556	125.8027778
TW_0081	생일도	Saengildo	TW	34.25872200	126.9602770
TW_0082	태안항	Taean	TW	37.00672200	126.2702220
TW_0083	여수항	Yosu	TW	34.79472200	127.8080550
TW_0084	통영항	Tongyeong	TW	34.77333300	128.4600000
TW_0092	임랑해수욕장	Imrang	TW	35.30250000	129.2925000
TW_0078	완도항	Wando Hang	TW	34.32508300	126.7631940
TW_0087	부산항	Busan Hang	TW	35.09175000	129.0852500
TW_0090	송정해수욕장	Songjun Beach	TW	35.16472200	129.2194440
TW_0074	광양항	Gwangyang Hang	TW	34.85972200	127.7927770
HB_0003	한수원_진하	KHNP_Jinha	TW	35.38472200	129.3680560
TW_0062	해운대해수욕장	Haeundae Beach	TW	35.14897200	129.1701660
TW_0069	대천해수욕장	Daecheon Beach	TW	36.27411100	126.4578050
TW_0070	평택당진항	Pyeontaek·Dangjin Hang	TW	37.13666600	126.5408330
TW_0072	군산항	Gunsan Hang	TW	35.98416600	126.5087500
YS_0002	여수해만중앙A호유도등부표	Yeosu 1	TW	34.59472200	127.9452780
YS_0003	여수해만중앙C호유도등부표	Yeosu 2	TW	34.72083300	127.8366670
YS_0007	여수기상관측부이	Yeosu 3	TW	34.63666700	127.9366670
TW_0077	경인항	Gyeongin Hang	TW	37.52338800	126.5920830
TW_0075	중문해수욕장	Jungmun Beach	TW	33.23450000	126.4095550
TW_0076	인천항	Incheon Hang	TW	37.38944400	126.5330550
TW_0088	감천항	Gamcheon Hang	TW	35.05280500	129.0030830
TW_0085	마산항	Masan	TW	35.10319400	128.6318330
TW_0091	낙산해수욕장	Naksan	TW	38.12250000	128.6505560
TW_0086	부산항신항	Busan(new)	TW	35.04377700	128.7617500
TW_0093	속초해수욕장	Sokcho Beach	TW	38.19861100	128.6313890
KG_0021	제주남부	Jeju(Southern)	TW	32.09041600	126.9658610
KG_0024	대한해협	Korea Strait	TW	34.91900000	129.1212500
KG_0025	남해동부	Jeju(Eastern)	TW	34.22247200	128.4190270
KG_0028	제주해협	Jeju Haehyeop	TW	33.70011111	126.5905000
KG_0101	울릉도북동	Ulleungdo(Northeastern)	TW	38.00736100	131.5525830
KG_0102	울릉도북서	Ulleungdo(Northwestern)	TW	37.74272200	130.6011940
HB_0001	한수원_기장	KHNP_Gijang	TW	35.18244400	129.2352500
HB_0002	한수원_고리	KHNP_Gori	TW	35.31850000	129.3147220
TW_0094	망상해수욕장	Mangsang Beach	TW	37.61611000	129.1030560
